column,dtype
ssuseq,int32
ssuid,object
spanel,category
swave,int8
srotaton,int8
srefmon,category
rhcalmn,category
rhcalyr,int16
shhadid,object
gvarstr,int16
ghlfsam,int8
grgc,float64
tfipsst,category
eoutcome,category
rhnf,int8
rhnfam,int8
rhnsf,int8
ehrefper,int16
ehhnumpp,int16
rhtype,category
whfnwgt,float64
tmetro,category
tmsa,int16
rhchange,category
rhnssr,int8
eaccess,category
aaccess,category
eunits,category
aunits,category
elivqrt,category
alivqrt,category
etenure,category
atenure,category
epubhse,category
apubhse,category
egvtrnt,category
agvtrnt,category
tmthrnt,category
amthrnt,category
ewrsect8,category
awrsect8,category
eutilyn,category
autilyn,category
eegyast,category
aegyast,category
eegypmt1,category
eegypmt2,category
eegypmt3,category
aegypmt,category
eegyamt,category
aegyamt,category
ehotlunc,category
ahotlunc,category
rnklun,category
efreelun,category
afreelun,category
efrerdln,category
afrerdln,category
ebrkfst,category
abrkfst,category
rnkbrk,category
efreebrk,category
afreebrk,category
efrerdbk,category
afrerdbk,category
rprgques,category
thearn,int32
thprpinc,int32
thtrninc,int32
thothinc,int32
thtotinc,int32
rhnbrf,category
rhcbrf,category
rhmtrf,category
thpov,int32
thpndist,int32
thlumpsm,int32
thnoncsh,int32
thsocsec,int32
thssi,int32
thunemp,int32
thvets,int32
thafdc,int32
thfdstp,int32
rfid,int16
rfid2,category
efnp,int8
efrefper,int16
efspouse,category
eftype,category
rfchange,category
efkind,category
rfnkids,int8
rfownkid,int8
rfoklt18,int8
rfnssr,int8
wffinwgt,float64
tfearn,int32
tfprpinc,int32
tftrninc,int32
tfothinc,int32
tftotinc,int32
tfpov,int32
tfpndist,int32
tflumpsm,int32
tfsocsec,int32
tfssi,int32
tfunemp,int32
tfvets,int32
tfafdc,int32
tffdstp,int32
rsid,category
esfnp,category
esfrfper,category
esfspse,category
esftype,category
esfkind,category
rschange,category
esownkid,category
esoklt18,category
wsfinwgt,category
tsfearn,category
tsprpinc,category
tstrninc,category
tsothinc,category
tstotinc,category
tsfpov,category
tspndist,category
tslumpsm,category
tssocsec,category
tsssi,category
tsvets,category
tsunemp,category
tsafdc,category
tsfdstp,category
eentaid,object
epppnum,object
eppintvw,category
epopstat,category
ebmnth,int8
abmnth,category
tbyear,int16
abyear,category
esex,category
asex,category
erace,category
arace,category
eorigin,category
aorigin,category
uevrwid,category
uevrdiv,category
eafnow,category
aafnow,category
eafever,category
aafever,category
uaf1,category
uaf2,category
uaf3,category
uaf4,category
uaf5,category
evayn,category
avayn,category
evettyp,category
avettyp,category
evaques,category
avaques,category
eafsrvdi,category
aafsrvdi,category
wpfinwgt,float64
esfr,category
esft,category
tage,category
aage,category
errp,category
arrp,category
ems,category
ams,category
epnspous,category
apnspous,category
epnmom,category
apnmom,category
epndad,category
apndad,category
epnguard,category
apnguard,category
etypmom,category
atypmom,category
etypdad,category
atypdad,category
rdesgpnt,category
ulftmain,category
uentmain,category
ulftday,category
ulftmon,category
uentday,category
uentmon,category
tpearn,category
tpprpinc,category
tptrninc,category
tpothinc,category
tptotinc,category
tppndist,category
tplumpsm,category
ehtlnyn,category
ahtlnyn,category
ebkfsyn,category
